Lat,Long,DateTime UTC [YYMMDDHHmmss]
77.6591395,-66.3496462,2023-03-26T12:50:28
77.6591376,-66.3494726,2023-03-26T13:00:29
77.6591348,-66.3495022,2023-03-26T13:10:28
77.6591353,-66.3494778,2023-03-26T13:20:29
77.6591251,-66.3494957,2023-03-26T13:30:29
77.6591317,-66.3495205,2023-03-26T13:40:31
77.6591232,-66.3495358,2023-03-26T13:50:29
77.6591305,-66.349505,2023-03-26T14:00:29
77.6591298,-66.3495287,2023-03-26T14:10:29
77.6591289,-66.3494993,2023-03-26T14:20:29
77.6591427,-66.349481,2023-03-26T14:30:29
77.6591401,-66.3495106,2023-03-26T14:40:31
77.6591393,-66.3494535,2023-03-26T14:50:30
77.6591342,-66.3494669,2023-03-26T15:00:31
77.6591485,-66.3494591,2023-03-26T15:10:29
77.659146,-66.349444,2023-03-26T15:20:29
77.659156,-66.3494864,2023-03-26T15:30:29
77.6591589,-66.3494693,2023-03-26T15:40:28
77.6591607,-66.3494494,2023-03-26T15:50:30
77.6591558,-66.3495131,2023-03-26T16:00:29
77.659163,-66.3494864,2023-03-26T16:10:29
77.6591798,-66.3495207,2023-03-26T16:20:30
77.6591655,-66.3495373,2023-03-26T16:30:28
77.6591702,-66.3494985,2023-03-26T16:40:28
77.6591745,-66.3495591,2023-03-26T16:50:29
77.6591556,-66.3495627,2023-03-26T17:00:30
77.6591558,-66.3495312,2023-03-26T17:10:30
77.6591535,-66.3495287,2023-03-26T17:20:28
77.6591513,-66.3495261,2023-03-26T17:30:28
77.6591423,-66.3495306,2023-03-26T17:40:28
77.6591465,-66.3495319,2023-03-26T17:50:28
77.6591425,-66.3495073,2023-03-26T18:00:28
77.6591437,-66.349506,2023-03-26T18:10:29
77.6591324,-66.3495009,2023-03-26T18:20:28
77.6591315,-66.3494613,2023-03-26T18:30:29
77.6591286,-66.3494433,2023-03-26T18:40:28
77.6591383,-66.3494333,2023-03-26T18:50:28
77.6591417,-66.3494769,2023-03-26T19:00:28
77.6591349,-66.3494484,2023-03-26T19:10:29
77.659151,-66.3495007,2023-03-26T19:20:28
77.6591444,-66.3495003,2023-03-26T19:30:29
77.6591446,-66.3494898,2023-03-26T19:40:30
77.6591459,-66.3494516,2023-03-26T19:50:28
77.6591316,-66.3494433,2023-03-26T20:00:28
77.6591374,-66.349511,2023-03-26T20:10:28
77.6591309,-66.3494669,2023-03-26T20:20:28
77.6591341,-66.3494607,2023-03-26T20:30:27
77.6591395,-66.3495074,2023-03-26T20:40:28
77.6591348,-66.3495068,2023-03-26T20:50:29
77.6591365,-66.3495181,2023-03-26T21:00:31
77.6591823,-66.3494859,2023-03-26T21:10:28
77.6591848,-66.3495257,2023-03-26T21:20:28
77.6591924,-66.349516,2023-03-26T21:30:29
77.6591811,-66.3495635,2023-03-26T21:40:28
77.6592085,-66.3495596,2023-03-26T21:50:28
77.6591971,-66.3495644,2023-03-26T22:00:28
77.6591997,-66.3495639,2023-03-26T22:10:28
77.6592,-66.3495539,2023-03-26T22:20:28
77.6592192,-66.349493,2023-03-26T22:30:29
77.659216,-66.3495101,2023-03-26T22:40:29
77.6592223,-66.3495323,2023-03-26T22:50:28
77.6592151,-66.3495257,2023-03-26T23:00:28
77.6592144,-66.3495445,2023-03-26T23:10:28
77.6592051,-66.3495749,2023-03-26T23:20:29
77.6592001,-66.3495549,2023-03-26T23:30:30
77.659208,-66.3495966,2023-03-26T23:40:29
77.659202,-66.3495422,2023-03-26T23:50:29
77.6591767,-66.3495409,2023-03-27T00:00:28
77.6591718,-66.3495294,2023-03-27T00:10:29
77.6591781,-66.3494736,2023-03-27T00:20:29
77.6591618,-66.3494947,2023-03-27T00:30:29
77.6591663,-66.3494839,2023-03-27T00:40:29
77.6591553,-66.3494931,2023-03-27T00:50:29
77.6591521,-66.3495192,2023-03-27T01:00:28
77.6591512,-66.349516,2023-03-27T01:10:29
77.6591442,-66.3495663,2023-03-27T01:20:28
77.6591567,-66.3495383,2023-03-27T01:30:29
77.6591542,-66.3495481,2023-03-27T01:40:27
77.6591582,-66.3495137,2023-03-27T01:50:29
77.6591691,-66.3495403,2023-03-27T02:00:29
77.6591626,-66.3495586,2023-03-27T02:10:30
77.6591741,-66.3495398,2023-03-27T02:20:29
77.6591653,-66.3495685,2023-03-27T02:30:29
77.6591687,-66.3495798,2023-03-27T02:40:29
77.659152,-66.3495496,2023-03-27T02:50:29
77.6591605,-66.3495445,2023-03-27T03:00:29
77.6591887,-66.3495568,2023-03-27T03:10:29
77.6591973,-66.3495563,2023-03-27T03:20:29
77.6591904,-66.3495706,2023-03-27T03:30:28
77.6591867,-66.3495517,2023-03-27T03:40:29
77.6591799,-66.3495521,2023-03-27T03:50:28
77.6591974,-66.3495518,2023-03-27T04:00:28
77.6591792,-66.3495617,2023-03-27T04:10:28
77.6591936,-66.3495576,2023-03-27T04:20:28
77.6591971,-66.3495756,2023-03-27T04:30:29
77.6591886,-66.349572,2023-03-27T04:40:28
77.6591892,-66.3495649,2023-03-27T04:50:29
77.6591838,-66.3495936,2023-03-27T05:00:28
77.6591804,-66.3495639,2023-03-27T05:10:29
77.6591832,-66.3496033,2023-03-27T05:20:29
77.6591885,-66.3495613,2023-03-27T05:30:29
77.6591871,-66.3495492,2023-03-27T05:40:28
77.6591854,-66.3496048,2023-03-27T05:50:29
77.6591978,-66.3496047,2023-03-27T06:00:28
77.6591657,-66.34956,2023-03-27T06:10:28
77.6591725,-66.3495623,2023-03-27T06:20:29
77.6591719,-66.3496032,2023-03-27T06:30:28
77.6591631,-66.3495433,2023-03-27T06:40:28
77.6591517,-66.3496378,2023-03-27T06:50:28
77.6591686,-66.349616,2023-03-27T07:00:29
77.6591455,-66.3496374,2023-03-27T07:10:28
77.6591431,-66.349673,2023-03-27T07:20:28
77.659142,-66.3496659,2023-03-27T07:30:29
77.6591299,-66.349678,2023-03-27T07:40:30
77.6591412,-66.3496373,2023-03-27T07:50:29
77.6591426,-66.3496373,2023-03-27T08:00:29
77.6591302,-66.3496797,2023-03-27T08:10:28
77.6591366,-66.3496717,2023-03-27T08:20:28
77.6591436,-66.3496592,2023-03-27T08:30:28
77.6591444,-66.349628,2023-03-27T08:40:28
77.6591479,-66.3496326,2023-03-27T08:50:28
77.659163,-66.3496629,2023-03-27T09:00:29
77.6591739,-66.3496661,2023-03-27T09:10:28
77.6591975,-66.3496666,2023-03-27T09:20:29
77.6591874,-66.3497085,2023-03-27T09:30:28
77.6591843,-66.3496928,2023-03-27T09:40:28
77.6591871,-66.3496261,2023-03-27T09:50:28
77.659177,-66.3496331,2023-03-27T10:00:28
77.6591742,-66.3497056,2023-03-27T10:10:29
77.6591711,-66.3496941,2023-03-27T10:20:29
77.6591849,-66.349618,2023-03-27T10:30:29
77.6591726,-66.3496875,2023-03-27T10:40:30
77.6591734,-66.3496965,2023-03-27T10:50:28
77.6591707,-66.3496909,2023-03-27T11:00:29
77.6591645,-66.3497204,2023-03-27T11:10:31
77.6591651,-66.3497385,2023-03-27T11:20:29
77.6591663,-66.3497131,2023-03-27T11:30:28
77.6591633,-66.3497357,2023-03-27T11:40:30
77.6591628,-66.3497147,2023-03-27T11:50:29
77.6591765,-66.3496974,2023-03-27T12:00:29
77.6591685,-66.3496845,2023-03-27T12:10:30
