Bird,Date start,Date end,Difference
Edder2022,2022-06-08 23:30:11,2022-06-09 05:00:07,05:29:56
Edder2022,2022-06-24 23:00:19,2022-06-25 05:00:09,05:59:50
Havterne2022,2022-06-08 23:30:07,2022-06-09 05:00:36,05:30:29
Havterne2022,2022-06-24 23:30:19,2022-06-25 05:00:07,05:29:48
Havterne2022,2022-06-30 20:00:12,2022-06-30 20:30:08,00:29:56
Havoern2022,2022-06-08 23:30:07,2022-06-09 05:00:23,05:30:16
Havoern2022,2022-06-24 23:30:08,2022-06-25 05:00:18,05:30:10
Havoern2022,2022-06-30 20:00:08,2022-06-30 20:30:10,00:30:02
Ismaage2022,2022-06-08 23:30:00,2022-06-09 05:00:00,05:30:00
Mallemuk2022,2022-04-07 07:00:21,2022-04-07 07:30:19,00:29:58
Mallemuk2022,2022-04-27 15:00:09,2022-04-27 15:30:09,00:30:00
Mallemuk2022,2022-04-26 23:30:09,2022-04-27 05:00:09,05:30:00
Mallemuk2022,2022-06-08 23:30:20,2022-06-09 06:30:09,06:59:49
Mallemuk2022,2022-06-24 23:30:20,2022-06-25 05:00:13,05:29:53
Mallemuk2022,2022-04-24 16:00:37,2022-04-24 16:30:07,00:29:30
Mallemuk2022,2022-05-20 13:00:07,2022-05-20 13:30:07,00:30:00
Mallemuk2022,2022-06-18 15:00:07,2022-06-18 16:00:07,01:00:00
Mallemuk2022,2022-06-24 23:30:20,2022-06-25 05:00:13,05:29:53
Mallemuk2022,2022-06-30 19:30:07,2022-06-30 20:30:07,01:00:00
Havterne2023,2023-05-15 16:00:19,2023-05-15 16:30:13,00:29:54
Havterne2023,2023-06-17 08:00:14,2023-06-17 08:30:07,00:29:53
Ismaage2023,2023-05-05 19:00:00,2023-05-05 21:30:00,02:30:00
Mallemuk2023,2023-03-30 09:00:08,2023-03-30 09:30:19,00:30:11
Mallemuk2023,2023-04-20 05:00:07,2023-04-20 05:30:07,00:30:00
Mallemuk2023,2023-05-18,2023-05-18 18:30:21,00:30:11
Mallemuk2023,2023-05-31 20:00:09,2023-05-31 20:30:09,00:30:00
Mallemuk2023,2023-06-22 06:00:14,2023-06-22 06:30:14,00:30:00
Mallemuk2023,2023-06-30 14:30:18,2023-06-30 15:00:38,00:30:20
Soekonge2023,2023-04-18 23:00:11,2023-04-18 23:30:25,00:30:14
Soekonge2023,2023-05-15 17:30:19,2023-05-15 18:00:36,00:30:17
Soekonge2023,2023-06-17 08:00:19,2023-06-17 08:30:22,00:30:03
Edder2025,2025-05-31 04:00:11
Edder2025,2025-06-27 06:00:08
Havoern2025,2025-05-31 04:30:09
Havoern2025,2025-06-27 08:00:09
Havterne2024,2024-06-26 10:30:10
Havterne2024,2024-07-04 01:00:20
Havterne2024,2024-07-11 07:00:09
Havterne2025,2025-06-27 11:30:09
Havterne2025,2025-07-07 17:30:26
Havterne2025,2025-07-12 02:30:24
Ismaage2025,2025-03-22 14:00:10
Soekonge2025,2025-06-27 04:30:17
Soekonge2025,2025-07-07 18:30:13
